Student Name,GPA,Attendance (%),Behavior Referrals
Angela Gomez,2.65,83.7%,1
Karen Perry,2.35,83.5%,0
Paul Jenkins,1.68,84.4%,2
Larry Moore,1.50,89.6%,0
William Brown,1.82,85.5%,0
Eric Powell,3.52,86.3%,2
Kevin Nelson,3.75,79.2%,0
Dennis Hamilton,2.86,75.2%,7
Gary Nguyen,1.90,76.0%,0
Lisa James,3.17,80.5%,0
Deborah Gray,1.65,76.2%,0
Alexander Wood,2.91,97.3%,0
Debra Johnson,2.65,95.0%,0
Brandon Gomez,3.47,78.4%,4
Thomas Davis,3.36,82.4%,0
Janet Morgan,2.73,95.3%,0
Sarah Bennett,1.63,83.3%,0
Stephen Barnes,3.78,94.9%,0
William Thompson,3.69,99.6%,3
Lisa Jordan,3.35,87.5%,0
Gregory Powell,3.98,93.6%,0
Nathan Thomas,1.57,89.9%,0
Karen Price,2.28,82.0%,4
Aaron Wood,2.13,79.1%,2
John Hamilton,2.12,90.5%,1
Brian Turner,2.76,77.7%,0
Michelle Kim,2.85,85.2%,0
Steven Diaz,2.36,76.6%,0
Brian Cooper,2.00,99.0%,2
Michelle Gutierrez,3.17,86.0%,0
Diane Morgan,3.88,78.7%,0
Nancy Morris,2.44,76.2%,0
Christine Rivera,3.46,86.5%,0
Debra Gomez,3.77,83.9%,0
Jason Walker,1.79,75.8%,1
Nicole Price,3.05,77.5%,0
Eric Jordan,1.80,96.7%,0
Ashley Reed,2.04,89.9%,2
Ashley Bell,3.01,94.9%,0
David Jones,1.59,76.8%,5
Gregory Wood,3.82,92.5%,0
Catherine Diaz,2.94,95.0%,5
Christine Nguyen,2.50,77.3%,0
Adam Perez,3.33,79.1%,3
Jacob Anderson,2.68,83.2%,0
Melissa Scott,1.57,78.8%,0
Michelle Hughes,2.93,76.1%,3
Lisa Perez,3.82,93.2%,0
Frank Rivera,1.85,80.2%,0
Angela Rivera,2.89,92.5%,0
Samantha Reed,3.14,93.4%,1
Rebecca Bailey,2.54,84.2%,1
George Parker,1.74,89.3%,3
Carolyn James,2.31,95.3%,0
Joseph Hart,2.34,77.7%,1
Daniel Roberts,3.89,93.9%,0
Aaron Adams,2.13,86.3%,0
Emily Collins,2.18,87.3%,0
Brian Reed,1.91,77.7%,0
Dennis Allen,2.34,81.9%,0
Gregory Ramirez,2.87,75.2%,0
James Tang,3.27,78.5%,3
Samuel Hamilton,3.38,79.5%,0
Katherine Bell,2.52,91.6%,1
Karen Hernandez,1.66,89.1%,0
Patricia James,3.36,87.8%,7
Joseph Thomas,3.80,97.1%,4
Ashley Evans,3.14,75.4%,0
Deborah Cook,2.64,79.9%,0
Diane Edwards,3.05,94.9%,0
Edward Flores,2.58,98.3%,8
Douglas Diaz,2.97,79.6%,1
Frank Sanders,3.41,76.1%,3
Charles Howard,3.44,89.9%,0
Christopher Collins,1.78,96.5%,0
Lisa Martin,3.85,82.9%,0
Julie Perez,2.66,80.9%,0
Timothy Lewis,3.95,93.3%,0
Rebecca Powell,2.32,76.1%,0
Kimberly Richardson,2.36,100.0%,1
Carol Lee,2.22,85.5%,4
Kevin Collins,1.57,76.5%,0
Nicole Walker,3.14,92.5%,0
Samuel Nguyen,1.97,85.8%,0
Emily Jenkins,3.16,76.8%,0
Adam Lee,3.23,80.8%,0
Jonathan Reynolds,3.88,81.6%,0
Samantha Jordan,1.82,93.7%,0
Carolyn Wood,1.57,95.8%,0
Ryan Diaz,3.08,80.8%,2
Jeffrey Scott,1.93,76.1%,2
Robert Morgan,1.58,92.9%,0
Carolyn Barnes,3.30,88.9%,0
William Green,2.18,98.1%,0
Victoria Walker,3.45,81.6%,2
Margaret Hernandez,3.29,76.7%,1
Deborah Roberts,2.71,85.5%,0
Christine Butler,2.95,76.2%,0
Pamela Morris,1.82,93.6%,0
Patricia Kelly,1.63,76.1%,10
