Name,Age,Gender,US Educated,Years Experience,Subject,Teacher Rating
Elizabeth Moore,less than 30,Female,No,less than 3,Spanish,Satisfactory
Betty Thomas,less than 30,Female,Yes,3 to 6,History,Satisfactory
Mary Thomas,30 to 50,Female,Yes,more than 6,Spanish,Proficient
Jennifer Anderson,30 to 50,Female,Yes,less than 3,History,Satisfactory
Richard Gonzalez,less than 30,Male,Yes,more than 6,Music,Proficient
Margaret Jackson,less than 30,Female,No,more than 6,Music,Satisfactory
Anthony Martinez,30 to 50,Male,Yes,more than 6,History,Proficient
Daniel Rodriguez,more than 30,Male,No,3 to 6,Math,Unsatisfactory
Nancy Lopez,less than 30,Female,Yes,3 to 6,Music,Proficient
Susan Lopez,more than 30,Female,Yes,3 to 6,Spanish,Unsatisfactory
William Martinez,30 to 50,Male,No,3 to 6,Art,Satisfactory
Mary Johnson,more than 30,Female,Yes,less than 3,Math,Proficient
Michael Thomas,less than 30,Male,Yes,less than 3,English,Satisfactory
Karen Garcia,30 to 50,Female,Yes,3 to 6,English,Satisfactory
Thomas Garcia,less than 30,Male,Yes,3 to 6,English,Proficient
Susan Thomas,less than 30,Female,Yes,3 to 6,Physical Education,Satisfactory
Robert Johnson,30 to 50,Male,No,less than 3,Computer Science,Proficient
Jennifer Gonzalez,more than 30,Female,No,more than 6,English,Proficient
Jessica Jones,30 to 50,Female,No,less than 3,Science,Unsatisfactory
Mark Moore,more than 30,Male,No,less than 3,Computer Science,Satisfactory
Patricia Gonzalez,less than 30,Female,Yes,more than 6,English,Proficient
James Rodriguez,30 to 50,Male,Yes,less than 3,Spanish,Satisfactory
Elizabeth Gonzalez,30 to 50,Female,No,less than 3,Science,Satisfactory
Karen Jones,30 to 50,Female,Yes,less than 3,Math,Satisfactory
Sarah Jones,more than 30,Female,No,3 to 6,Spanish,Satisfactory
