Name,Age,Gender,US Educated,Years Experience,Subject,Teacher Rating
Sean Vaughn,more than 50,male,No,more than 6,Art,proficient
Dylan Thomas,more than 50,female,Yes,more than 6,Physics,proficient
Victoria Howard DDS,less than 30,male,No,3 to 6,English,proficient
Jonathan Shelton,30 to 50,male,No,less than 3,Physical Education,satisfactory
Justin Hunter,30 to 50,male,No,less than 3,Music,satisfactory
Carolyn Harper,less than 30,female,No,more than 6,Physics,unsatisfactory
Travis Wood,less than 30,male,Yes,3 to 6,Biology,proficient
Deanna Lane,less than 30,male,Yes,3 to 6,Biology,proficient
Jennifer Gray,more than 50,female,Yes,more than 6,Physics,proficient
Anthony Warren,less than 30,male,Yes,3 to 6,Geography,proficient
Phillip Summers,more than 50,male,No,3 to 6,Mathematics,proficient
Kim Underwood,more than 50,female,No,more than 6,English,proficient
Kaylee Price,30 to 50,male,No,3 to 6,Computer Science,proficient
Manuel Brown,more than 50,female,Yes,3 to 6,Biology,satisfactory
Andrew Lamb,less than 30,female,No,3 to 6,Mathematics,satisfactory
Elizabeth Bray,more than 50,male,Yes,3 to 6,Geography,satisfactory
Zachary Trujillo,less than 30,female,No,more than 6,Art,unsatisfactory
Donald Acosta,less than 30,female,Yes,less than 3,Chemistry,satisfactory
Alisha Stephens,less than 30,male,No,more than 6,History,proficient
Kyle Harrison,less than 30,male,No,3 to 6,Mathematics,proficient
James Chavez,30 to 50,female,No,more than 6,Art,satisfactory
Eric Campos,more than 50,male,No,3 to 6,Chemistry,satisfactory
Sarah Cunningham,less than 30,male,Yes,more than 6,Art,proficient
Patricia Flynn,more than 50,male,No,more than 6,Geography,proficient
Keith Armstrong,30 to 50,female,Yes,more than 6,Physical Education,proficient
Bryan Mcfarland,less than 30,male,Yes,3 to 6,History,satisfactory
Aaron Roman,30 to 50,female,Yes,less than 3,English,unsatisfactory
Tyler Barnes,less than 30,male,No,more than 6,Mathematics,proficient
James Ferrell,less than 30,male,Yes,more than 6,Music,proficient
Tom Wallace,less than 30,male,No,less than 3,Mathematics,satisfactory
Ashley Eaton,more than 50,male,Yes,3 to 6,History,proficient
Mike Lee,30 to 50,female,Yes,more than 6,History,proficient
Terri Roman,more than 50,female,Yes,3 to 6,Physical Education,satisfactory
Mackenzie Gonzalez,less than 30,male,Yes,more than 6,Chemistry,proficient
Jennifer Anderson,less than 30,female,Yes,3 to 6,Computer Science,satisfactory
James Villa,30 to 50,male,Yes,less than 3,Biology,unsatisfactory
William Walker,more than 50,male,No,3 to 6,Computer Science,satisfactory
John Nichols,less than 30,female,No,3 to 6,English,satisfactory
Dennis Vincent,30 to 50,female,No,3 to 6,Physics,proficient
Brent Mccoy,less than 30,female,No,more than 6,Chemistry,satisfactory
Cody Smith,less than 30,female,Yes,less than 3,Music,proficient
Lisa Watson,less than 30,male,Yes,3 to 6,Biology,proficient
Jonathan Thomas,30 to 50,female,No,less than 3,History,satisfactory
Regina Brown,more than 50,male,Yes,less than 3,Physics,unsatisfactory
